(3.15000070258975e-05, 2.7999980375170708e-05, 2.380006480962038e-05)
(1.6300007700920105e-05, 2.380006480962038e-05, 2.0999927073717117e-05)
(1.5099998563528061e-05, 2.310005947947502e-05, 2.0699924789369106e-05)
(1.6300007700920105e-05, 2.3300061002373695e-05, 2.059992402791977e-05)
(1.5700003132224083e-05, 3.350002225488424e-05, 2.0999927073717117e-05)
(1.3899989426136017e-05, 2.220005262643099e-05, 1.9700033590197563e-05)
(1.5700003132224083e-05, 2.9300106689333916e-05, 2.119992859661579e-05)
(1.4499993994832039e-05, 2.350006252527237e-05, 1.989991869777441e-05)
(1.4599994756281376e-05, 2.320006024092436e-05, 2.0099920220673084e-05)
(1.8400023691356182e-05, 2.1300045773386955e-05, 1.9399914890527725e-05)
(1.3599987141788006e-05, 2.0900042727589607e-05, 1.910002902150154e-05)
(1.5199999324977398e-05, 2.5699962861835957e-05, 2.0799925550818443e-05)
(1.3899989426136017e-05, 2.1900050342082977e-05, 1.950003206729889e-05)
(1.3399985618889332e-05, 2.1999934688210487e-05, 2.3700064048171043e-05)
(1.789990346878767e-05, 2.2900057956576347e-05, 1.9700033590197563e-05)
(1.4999997802078724e-05, 2.5099958293139935e-05, 2.010003663599491e-05)
(1.4400109648704529e-05, 2.2700056433677673e-05, 1.9700033590197563e-05)
(1.4599994756281376e-05, 2.259993925690651e-05, 2.0200037397444248e-05)
(1.4399993233382702e-05, 2.2699940018355846e-05, 2.3600063286721706e-05)
(1.4599994756281376e-05, 6.780005060136318e-05, 2.2600055672228336e-05)
(3.330002073198557e-05, 2.7099973522126675e-05, 2.2500054910779e-05)
(1.4999997802078724e-05, 2.259993925690651e-05, 2.0000035874545574e-05)
(1.3999990187585354e-05, 2.1400046534836292e-05, 1.9399914890527725e-05)
(4.9600028432905674e-05, 2.619996666908264e-05, 4.780001472681761e-05)
(1.479999627918005e-05, 3.730005118995905e-05, 1.8799910321831703e-05)
(1.3899989426136017e-05, 2.2000051103532314e-05, 1.9299914129078388e-05)
(1.379998866468668e-05, 2.220005262643099e-05, 1.9400031305849552e-05)
(1.4699995517730713e-05, 2.559996210038662e-05, 2.0400038920342922e-05)
(1.3999990187585354e-05, 2.719997428357601e-05, 1.9699917174875736e-05)
(1.4199991710484028e-05, 2.4700071662664413e-05, 1.9399914890527725e-05)
(1.3800105080008507e-05, 2.2000051103532314e-05, 1.9400031305849552e-05)
(1.4999997802078724e-05, 2.629996743053198e-05, 2.1000043489038944e-05)
